objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,DSC_0070.jpg,,Angola & Mozambique 1/1,,, ,angola-mozambique;african-countries;,,-18.665695,35.529562,,,,image/jpeg,,,
coll002,DSC_0112.jpg,,Congo & Zaire 1/2,,,,congo-zaire;african-countries,,-0.228021,15.827659,,,,image/jpeg,,,
coll003,DSC_0113.jpg,,Congo & Zaire 2/2,,,,congo-zaire;african-countries,,-0.228021,15.827659,,,,image/jpeg,,,
coll004,DSC_0082.jpg,,East Africa 1/4,,,,east-africa;african-countries,,-0.023559,37.906193,,,,image/jpeg,,,
coll005,DSC_0083.jpg,,East Africa 2/4,,,,east-africa;african-countries,,-0.023559,37.906193,,,,image/jpeg,,,
coll006,DSC_0084.jpg,,East Africa 3/4,,,,east-africa;african-countries,,-0.023559,37.906193,,,,image/jpeg,,,
coll007,DSC_0085.jpg,,East Africa 4/4,,,,east-africa;african-countries,,-0.023559,37.906193,,,,image/jpeg,,,
,,,,,,,,,,,,,,image/jpeg,,,
